Time(ms),Time(s),acce_x,acce_y,acce_z
1499429602759, 294516.40151636105, 0.50405884, 1.5955505, 9.789978
1499429602781, 294516.42168848, 0.4648285, 1.5563354, 9.69191
1499429602800, 294516.44183008204, 0.52368164, 1.6151733, 9.652679
1499429602822, 294516.461971683, 0.6021271, 1.6151733, 9.574234
1499429602843, 294516.482082767, 0.6217346, 1.6740112, 9.652679
1499429602862, 294516.50222436903, 0.6217346, 1.6543884, 9.770355
1499429602882, 294516.522365971, 0.6413574, 1.6543884, 9.868423
1499429602901, 294516.54250757204, 0.66096497, 1.6543884, 9.888046
1499429602921, 294516.562679691, 0.68058777, 1.6543884, 9.829208
1499429602942, 294516.58282129304, 0.6413574, 1.6740112, 9.789978
1499429602962, 294516.602962894, 0.6217346, 1.6151733, 9.73114
1499429602981, 294516.62310449604, 0.5432892, 1.5563354, 9.672302
1499429603001, 294516.643246098, 0.5432892, 1.4974823, 9.652679
1499429603022, 294516.663387699, 0.58251953, 1.5367126, 9.633072
1499429603043, 294516.683529301, 0.5432892, 1.5563354, 9.69191
1499429603062, 294516.703670902, 0.58251953, 1.575943, 9.750748
1499429603083, 294516.72381250403, 0.66096497, 1.6543884, 9.789978
1499429603103, 294516.743923588, 0.71980286, 1.575943, 9.750748
1499429603123, 294516.764065189, 0.71980286, 1.6347809, 9.809586
1499429603144, 294516.784206791, 0.66096497, 1.6347809, 9.73114
1499429603163, 294516.80437891, 0.6217346, 1.6740112, 9.652679
1499429603183, 294516.824520512, 0.52368164, 1.6151733, 9.711517
1499429603203, 294516.844631596, 0.4648285, 1.5955505, 9.789978
1499429603223, 294516.86477319704, 0.4059906, 1.575943, 9.868423
1499429603244, 294516.884945316, 0.4844513, 1.575943, 9.907654
1499429603263, 294516.90511743503, 0.6021271, 1.5955505, 9.789978
1499429603283, 294516.925228519, 0.6413574, 1.6347809, 9.613449
1499429603304, 294516.94537012104, 0.68058777, 1.6936188, 9.633072
1499429603324, 294516.965481205, 0.7001953, 1.7132416, 9.672302
1499429603347, 294516.985653324, 0.6217346, 1.6740112, 9.672302
